bioID,year,stint_y,total_award_score,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won_team,lost_team,GP_x,homeW,homeL,awayW,awayL,confW,confL,W,L,coachID,stint_x,won_coach,lost_coach,post_wins,post_losses,GP_y,GS,PostGP,PostGS,weighted_score,post_weighted_score,playoff_next_year
balesal01w,9,2,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,17,9,0,0,171.49999999999997,0.0,0.0
castriz01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,29,20,0,0,338.85,0.0,0.0
desouer01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,12,8,0,0,151.0,0.0,0.0
haynikr01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,33,3,0,0,194.45000000000002,0.0,0.0
lacyje01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,33,22,0,0,272.9,0.0,0.0
lattaiv01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,34,31,0,0,509.6,0.0,0.0
lennobe01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,34,33,0,0,636.0,0.0,0.0
littlca01w,9,1,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,13,2,0,0,99.80000000000001,0.0,0.0
lovelst01w,9,1,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,15,7,0,0,131.15,0.0,0.0
mannkr01w,9,1,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,13,8,0,0,81.89999999999999,0.0,0.0
nnamach01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,12,0,0,0,33.150000000000006,0.0,0.0
strotan01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,21,0,0,0,67.7,0.0,0.0
terryka01w,9,2,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,20,8,0,0,129.55,0.0,0.0
youngta01w,9,0,0.0,ATL,ATL,EA,7,0,,,,4,30,34,1,16,3,14,2,18,,,meadoma99w,0,4,30,0,0,33,15,0,0,355.04999999999995,0.0,1.0
castriz01w,10,0,0.0,ATL,ATL,EA,2,1,L,,,18,16,34,12,5,6,11,10,12,0.0,2.0,meadoma99w,0,18,16,0,2,34,33,2,2,526.1,34.800000000000004,1.0
