year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won_team,lost_team,GP_x,homeW,homeL,awayW,awayL,confW,confL,W,L,coachID,stint_x,won_coach,lost_coach,post_wins,post_losses,bioID,stint_y,GP_y,GS,PostGP,PostGS,total_award_score,weighted_score,post_weighted_score
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,arcaija01w,0,32,32,6,6,0.0,405.15000000000003,78.95
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,coopecy01w,0,31,31,6,6,8.0,623.7499999999999,142.8
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,gibsoke01w,0,17,0,1,0,0.0,35.24999999999999,0.6500000000000001
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,jacksta01w,0,29,1,6,0,0.0,133.4,34.25
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,johnsti01w,0,31,29,6,6,0.0,268.1000000000001,47.70000000000001
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,lambmo01w,0,13,2,0,0,0.0,54.25,0.0
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,rizzoje01w,0,32,2,1,0,0.0,149.89999999999998,0.8000000000000002
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,shakiel01w,0,14,0,0,0,0.0,79.4,0.0
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,swoopsh01w,0,31,31,6,6,17.0,706.05,129.5
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,thompti01w,0,32,32,6,6,7.0,641.2999999999998,113.45000000000002
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,valdeam01w,0,22,0,3,0,0.0,83.44999999999999,10.799999999999999
1,HOU,HOU,WE,2,Y,W,W,W,27,5,32,14,2,13,3,17,4,6.0,0.0,chancva99w,0,27,5,6,0,washico01w,0,25,0,6,0,0.0,87.75000000000001,32.45
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,bibbyje01w,0,17,0,3,0,0.0,30.349999999999998,3.6000000000000005
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,ferrama01w,0,23,4,3,0,0.0,66.95,7.850000000000001
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,firsool01w,0,9,0,3,0,0.0,13.350000000000003,4.75
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,francde01w,0,1,0,2,0,0.0,0.45,1.3
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,hammobe01w,0,32,16,7,7,0.0,426.25,89.90000000000002
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,johnsvi01w,0,31,31,7,7,0.0,491.84999999999997,108.50000000000001
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,lacyve01w,0,2,2,0,0,0.0,8.200000000000001,0.0
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,mahonsh01w,0,15,3,0,0,0.0,58.49999999999999,0.0
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,phillta01w,0,31,30,7,7,5.0,526.0500000000002,128.45000000000002
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,robincr01w,0,27,14,7,0,0.0,338.3500000000001,67.45
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,weathte01w,0,32,32,7,7,0.0,427.6000000000001,87.8
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,whitmta01w,0,32,16,7,7,0.0,341.15,98.25
1,NYL,NYL,EA,1,Y,W,W,L,20,12,32,12,4,8,8,14,7,4.0,3.0,adubari99w,0,20,12,4,3,wickssu01w,0,32,12,7,0,0.0,288.79999999999995,52.99999999999999
2,CHA,CHA,EA,4,Y,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,anderke01w,0,18,0,2,0,0.0,33.85,1.85
2,CHA,CHA,EA,4,Y,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,bristre01w,0,1,0,0,0,0.0,1.25,0.0
