bioID,year,stint_y,total_award_score,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won_team,lost_team,GP_x,homeW,homeL,awayW,awayL,confW,confL,W,L,coachID,stint_x,won_coach,lost_coach,post_wins,post_losses,GP_y,GS,PostGP,PostGS,weighted_score,post_weighted_score,playoffNextYear,prev_bioID,prev_stint_y,prev_total_award_score,prev_franchID,prev_confID,prev_rank,prev_firstRound,prev_semis,prev_finals,prev_won_team,prev_lost_team,prev_GP_x,prev_homeW,prev_homeL,prev_awayW,prev_awayL,prev_confW,prev_confL,prev_W,prev_L,prev_coachID,prev_stint_x,prev_won_coach,prev_lost_coach,prev_post_wins,prev_post_losses,prev_GP_y,prev_GS,prev_PostGP,prev_PostGS,prev_weighted_score,prev_post_weighted_score,prev_playoffNextYear
bristre01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,1,0,0,0,1.25,0.0,1.0,anderke01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,18.0,0.0,2.0,0.0,33.85,1.85,1.0
edwarto01w,2,2,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,22,0,8,0,157.50000000000003,42.85,1.0,bristre01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,1.0,0.0,0.0,0.0,1.25,0.0,1.0
enissh01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,11,8,0,279.2,47.050000000000004,1.0,edwarto01w,2.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,22.0,0.0,8.0,0.0,157.50000000000003,42.85,1.0
erbsu01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,18,0,4,0,74.49999999999999,7.6499999999999995,1.0,enissh01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,32.0,11.0,8.0,0.0,279.2,47.050000000000004,1.0
feastal01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,32,8,8,501.4500000000001,107.29999999999998,1.0,erbsu01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,18.0,0.0,4.0,0.0,74.49999999999999,7.6499999999999995,1.0
machacl01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,30,8,8,0,254.75,54.40000000000001,1.0,feastal01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,32.0,32.0,8.0,8.0,501.4500000000001,107.29999999999998,1.0
milleke01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,26,0,2,0,91.69999999999999,1.9000000000000001,1.0,machacl01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,30.0,8.0,8.0,0.0,254.75,54.40000000000001,1.0
smithch02w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,30,24,8,8,288.75,93.4,1.0,milleke01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,26.0,0.0,2.0,0.0,91.69999999999999,1.9000000000000001,1.0
staleda01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,32,8,8,475.4,129.65,1.0,smithch02w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,30.0,24.0,8.0,8.0,288.75,93.4,1.0
stinsan01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,32,32,8,8,534.0,134.39999999999998,1.0,staleda01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,32.0,32.0,8.0,8.0,475.4,129.65,1.0
suttota01w,2,0,0.0,CHA,CHA,EA,4,1,W,W,L,18,14,32,11,5,7,9,15,6,4.0,4.0,donovan99w,0,18,14,4,4,29,21,8,8,289.59999999999997,80.25,1.0,stinsan01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,32.0,32.0,8.0,8.0,534.0,134.39999999999998,1.0
anderke01w,3,0,0.0,CHA,CHA,EA,2,1,L,,,18,14,32,11,5,7,9,12,9,0.0,2.0,donovan99w,0,18,14,0,2,7,0,0,0,13.35,0.0,1.0,suttota01w,0.0,0.0,CHA,EA,4.0,W,W,L,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,4.0,4.0,donovan99w,0.0,18.0,14.0,4.0,4.0,29.0,21.0,8.0,8.0,289.59999999999997,80.25,1.0
